wavelength,0,1,2,3,4,5,6,7,8,9,10
391.962,146,114,101,68,52,37,24,13,12,4,4
392.42,139,110,93,66,51,36,22,16,12,8,5
392.877,121,96,84,64,41,26,18,11,7,8,4
393.335,118,89,79,56,42,29,20,12,9,11,10
393.792,105,83,71,50,32,26,15,9,6,7,-3
394.25,96,75,65,49,35,25,16,7,5,4,2
394.708,93,77,62,46,30,23,16,9,7,4,3
395.165,81,64,57,41,26,17,13,4,7,7,5
395.623,78,63,57,38,25,17,13,10,6,4,1
396.081,78,55,56,33,26,18,11,12,7,1,0
396.539,72,54,52,35,23,16,11,8,5,5,3
396.997,68,55,46,35,19,16,7,5,6,3,-2
397.454,64,47,42,30,22,14,9,6,3,1,-2
397.912,61,49,42,34,21,15,14,9,8,2,7
398.37,62,47,37,29,21,15,13,5,4,5,4
398.828,57,46,39,30,22,11,11,2,3,4,5
399.286,57,43,42,30,20,13,9,3,6,4,6
399.745,50,40,35,22,16,15,8,8,3,3,2
400.203,49,42,37,22,13,15,7,3,5,0,-2
400.661,42,30,29,19,13,9,8,4,3,0,-1
401.119,44,34,29,22,14,8,7,2,3,0,1
401.577,41,33,25,21,15,6,5,5,4,2,4
402.035,40,29,30,20,14,13,7,5,4,7,4
402.494,31,24,21,14,6,7,7,1,-3,3,1
402.952,34,24,25,19,11,11,8,7,5,3,4
403.411,31,23,22,18,14,7,5,0,-2,0,-1
403.869,28,22,22,18,10,8,8,4,4,4,4
404.327,29,26,21,12,10,11,8,6,2,2,2
404.786,25,21,15,10,8,5,5,2,-2,1,-1
405.244,20,17,19,11,4,5,1,-1,-3,0,1
405.703,29,19,14,16,11,5,6,5,5,3,5
406.162,22,22,18,11,11,7,9,2,3,6,4
406.62,20,13,14,4,6,1,2,1,-3,-4,0
407.079,23,13,16,10,7,8,3,3,-1,1,-1
407.538,23,15,17,12,9,7,3,6,2,1,1
407.996,21,21,15,14,11,1,3,-4,3,6,0
408.455,21,17,14,9,10,1,6,0,5,4,4
408.914,23,19,17,10,8,7,7,6,6,0,7
409.373,17,14,12,6,6,6,2,4,1,1,1
409.832,13,10,14,11,3,1,1,1,0,-5,-2
410.291,21,16,14,8,7,5,4,2,3,5,5
410.75,19,11,14,8,9,5,9,6,4,6,4
411.209,19,13,15,12,8,0,2,1,5,3,3
411.668,15,14,13,13,5,9,7,5,1,-1,3
412.127,17,10,9,12,7,4,4,3,1,1,-3
412.586,12,4,10,5,1,1,0,0,-4,1,-2
413.045,14,12,11,11,10,5,6,-1,7,1,2
413.504,16,15,15,6,9,8,7,3,10,1,4
413.964,14,8,9,6,4,5,2,3,0,1,1
414.423,16,11,13,9,6,4,4,3,5,3,0
414.882,12,13,11,10,5,3,6,-1,2,0,2
415.342,14,14,13,8,3,5,4,3,5,4,5
415.801,10,9,11,7,7,8,7,6,1,8,0
416.261,18,11,11,6,8,3,3,6,5,2,3
416.72,16,9,6,9,6,2,3,2,3,-1,0
417.18,19,10,7,7,6,4,4,-1,1,0,1
417.639,10,9,7,5,1,4,3,0,1,5,0
418.099,10,9,9,3,4,5,-1,1,0,0,-4
418.558,9,10,7,5,2,3,1,0,3,1,0
419.018,10,11,10,6,4,2,6,-3,5,2,-3
419.478,11,12,10,10,5,3,8,-2,2,2,3
419.937,12,11,10,5,7,0,1,-2,1,0,0
420.397,11,7,15,6,4,8,5,5,2,4,0
420.857,15,11,9,10,8,7,5,7,3,2,1
421.317,15,10,10,5,3,8,6,0,7,0,-1
421.777,14,9,9,5,5,4,1,2,4,6,2
422.237,11,9,9,8,5,7,5,1,3,0,1
422.697,12,8,10,3,2,7,0,4,-2,0,-5
423.157,13,10,12,9,5,3,2,2,0,1,-3
423.617,15,14,13,13,8,4,6,3,5,4,-1
424.077,15,11,10,8,6,5,2,0,4,-2,3
424.537,14,14,10,7,7,4,7,1,1,6,2
424.997,14,13,13,6,5,6,-1,-1,0,2,2
425.457,13,7,9,7,4,3,2,1,1,1,1
425.917,10,9,9,5,5,4,3,-2,-3,-3,0
426.378,17,12,12,9,9,10,7,3,7,3,2
426.838,12,8,12,7,4,2,1,2,3,3,-1
427.298,12,11,9,6,6,4,4,5,2,-2,3
427.759,13,10,12,6,7,3,9,3,4,0,0
428.219,7,3,1,6,3,1,1,-5,-8,-5,-5
428.68,13,8,10,8,7,6,5,4,5,1,3
429.14,12,13,9,8,2,3,4,2,3,2,-2
429.601,15,12,14,11,9,5,5,9,7,6,6
430.061,14,7,13,7,5,8,6,3,5,3,2
430.522,13,10,11,9,7,5,5,1,6,3,-1
430.983,14,14,6,6,3,5,5,-4,0,5,1
431.443,14,12,17,8,9,3,7,5,4,2,2
431.904,10,18,12,7,12,8,4,4,4,3,1
432.365,17,13,17,7,6,5,9,5,6,3,3
432.825,14,15,9,13,9,8,5,1,2,4,0
433.286,15,11,8,5,6,5,2,1,3,0,2
433.747,12,13,9,7,6,5,0,1,4,1,-1
434.208,10,15,10,6,3,3,2,0,6,-4,-3
434.669,18,15,11,13,10,8,13,3,3,2,2
435.13,13,9,10,8,4,5,1,-4,1,0,-4
435.591,14,10,9,7,5,5,3,3,-1,3,-1
436.052,10,9,11,6,4,8,2,0,2,1,-1
436.513,14,9,9,5,9,4,4,2,6,4,2
436.974,19,12,9,11,10,7,6,3,6,1,4
437.436,19,9,12,9,10,5,3,6,3,2,6
437.897,17,14,15,9,6,9,2,2,0,5,4
438.358,10,11,11,8,5,3,4,2,6,1,1
438.819,19,17,14,8,6,7,5,2,3,1,1
