389.218,1702,1702,596,359,232,144,91,55,37
389.675,1706,1706,591,361,236,143,93,54,42
390.133,1541,1541,534,324,215,134,82,50,43
390.59,1464,1464,506,303,201,121,77,48,31
391.047,1342,1342,471,280,187,120,78,38,31
391.505,1269,1269,445,271,174,112,67,41,29
391.962,1156,1156,405,242,157,101,65,37,31
392.42,1081,1081,383,227,147,91,62,33,24
392.877,994,994,349,211,136,82,51,30,23
393.335,897,897,316,194,123,76,51,33,22
393.792,833,833,292,173,114,69,41,22,18
394.25,770,770,270,160,105,65,43,25,22
394.708,720,720,258,152,101,59,40,26,22
395.165,657,657,234,139,87,56,39,23,12
395.623,615,615,217,129,84,53,34,17,16
396.081,593,593,210,127,82,51,30,20,12
396.539,558,558,194,115,77,48,33,20,11
396.997,522,522,183,110,69,46,29,18,15
397.454,475,475,169,96,63,39,26,17,13
397.912,483,483,167,105,69,44,22,14,10
398.37,466,466,166,98,64,40,26,15,10
398.828,432,432,152,91,60,38,23,13,7
399.286,429,429,147,88,57,31,26,18,14
399.745,385,385,136,82,53,36,21,13,7
400.203,377,377,128,76,48,33,15,10,8
400.661,342,342,119,72,46,26,18,10,7
401.119,322,322,106,68,43,31,17,14,10
401.577,296,296,105,63,43,28,17,7,11
402.035,285,285,101,61,42,23,19,13,8
402.494,253,253,88,51,33,18,12,10,3
402.952,233,233,83,49,34,22,12,8,8
403.411,215,215,79,44,30,18,9,6,5
403.869,202,202,72,42,29,15,15,7,4
404.327,197,197,68,45,28,15,11,10,1
404.786,180,180,59,39,23,13,6,9,3
405.244,170,170,60,33,22,14,7,1,6
405.703,157,157,56,34,24,17,8,4,11
406.162,151,151,52,35,21,12,9,8,7
406.62,144,144,49,27,18,12,7,3,3
407.079,135,135,45,31,19,12,8,3,4
407.538,142,142,50,28,19,13,7,2,6
407.996,132,132,46,28,19,16,11,8,6
408.455,126,126,46,24,21,11,4,8,4
408.914,126,126,46,29,21,11,10,8,7
409.373,118,118,41,23,14,9,5,1,8
409.832,111,111,35,22,15,7,1,-1,2
410.291,109,109,38,26,18,11,12,4,4
410.75,102,102,36,22,15,8,8,5,2
411.209,98,98,33,18,15,9,7,6,3
411.668,94,94,35,19,14,10,9,8,7
412.127,85,85,32,18,13,12,8,3,3
412.586,84,84,26,15,11,5,2,0,1
413.045,80,80,27,18,11,7,8,-1,3
413.504,72,72,27,20,13,4,2,8,4
413.964,70,70,20,15,9,3,2,6,-1
414.423,69,69,23,14,11,11,6,8,6
414.882,64,64,21,15,9,5,7,-1,5
415.342,59,59,22,14,8,5,8,2,3
415.801,57,57,27,16,9,7,2,2,6
416.261,58,58,21,13,9,12,4,6,4
416.72,55,55,18,9,11,8,3,2,-3
417.18,52,52,21,10,14,5,11,6,2
417.639,52,52,20,11,8,4,2,0,4
418.099,46,46,19,10,4,2,-3,3,5
418.558,50,50,16,12,7,7,0,1,-1
419.018,50,50,13,9,7,3,2,1,0
419.478,46,46,19,9,5,3,5,-1,3
419.937,47,47,16,7,6,-1,4,3,6
420.397,44,44,19,12,9,3,4,0,2
420.857,50,50,13,10,8,7,6,6,4
421.317,43,43,16,13,8,6,-1,1,2
421.777,41,41,14,9,7,1,4,-3,3
422.237,39,39,15,13,4,3,3,4,6
422.697,41,41,10,4,3,3,0,0,-2
423.157,37,37,12,6,5,-4,-2,0,0
423.617,42,42,12,9,6,4,3,0,1
424.077,36,36,14,10,3,0,5,-3,2
424.537,35,35,14,5,1,4,3,2,0
424.997,34,34,13,7,3,0,3,-2,0
425.457,36,36,10,8,5,6,1,-4,-3
425.917,33,33,13,7,5,4,2,-1,3
426.378,30,30,15,8,9,5,3,6,5
426.838,30,30,10,6,2,3,-5,3,0
427.298,33,33,9,4,6,7,4,1,-1
427.759,33,33,13,7,7,9,2,0,3
428.219,27,27,8,0,1,-1,-2,-6,0
428.68,30,30,10,11,5,2,2,3,3
429.14,28,28,10,7,4,3,4,1,6
429.601,34,34,13,8,10,4,3,6,6
430.061,31,31,11,9,4,4,3,1,2
430.522,29,29,11,6,1,4,4,2,-1
430.983,26,26,10,5,1,2,3,-1,-1
431.443,29,29,11,5,8,1,5,5,2
431.904,25,25,10,6,6,0,4,-2,2
432.365,26,26,9,5,6,1,5,3,3
432.825,23,23,9,9,6,4,5,0,8
