wavelength,1,2,3,4,5,6,7,8,9,10
393.335,1301,604,189,108,66,38,33,30,28,28
393.792,1210,557,175,99,58,36,28,26,23,15
394.25,1114,515,166,93,59,31,27,27,21,18
394.708,1051,486,156,85,53,34,24,24,20,16
395.165,955,444,137,78,44,28,21,20,17,15
395.623,895,411,126,76,48,24,19,17,16,14
396.081,864,400,130,71,46,25,22,19,17,13
396.539,804,374,122,68,46,26,20,16,17,12
396.997,757,350,110,60,38,20,18,18,18,10
397.454,691,317,103,58,32,19,16,16,15,9
397.912,706,326,108,58,36,23,16,21,13,15
398.37,685,316,102,54,35,19,19,14,12,14
398.828,629,292,91,51,29,20,16,14,15,11
399.286,625,287,90,49,27,21,14,17,14,11
399.745,566,263,83,45,28,15,12,12,9,10
400.203,545,248,81,43,28,15,11,12,10,10
400.661,502,226,72,40,23,12,6,9,7,6
401.119,472,219,69,36,20,16,12,14,10,9
401.577,434,201,62,34,17,14,9,11,7,7
402.035,410,190,62,36,23,14,12,14,8,7
402.494,374,172,50,34,16,11,10,7,5,6
402.952,339,159,48,30,18,11,8,12,11,12
403.411,322,147,46,24,17,9,10,5,3,7
403.869,295,137,46,23,17,10,9,12,8,11
404.327,291,133,42,26,17,11,16,6,10,7
404.786,261,119,37,20,11,5,5,4,4,2
405.244,248,118,37,21,13,2,0,8,3,2
405.703,234,110,39,18,15,8,6,7,10,9
406.162,220,102,34,18,14,7,4,10,4,7
406.62,216,96,32,16,12,7,5,6,0,3
407.079,203,89,31,17,13,11,3,6,1,6
407.538,205,97,33,17,12,5,7,7,5,8
407.996,195,91,28,12,11,7,7,7,8,7
408.455,181,87,29,17,12,7,9,3,2,5
408.914,184,86,30,24,16,7,7,11,9,7
409.373,168,77,26,17,10,9,2,6,1,3
409.832,162,71,20,16,5,5,3,1,-3,1
410.291,158,77,21,13,11,3,5,1,5,5
410.75,155,74,23,12,14,7,7,7,5,5
411.209,143,66,22,15,9,4,8,8,6,5
411.668,139,64,27,19,10,9,4,10,4,7
412.127,131,60,20,14,6,9,3,7,7,3
412.586,122,54,15,10,3,5,3,3,-3,2
413.045,117,59,16,9,8,5,6,4,1,2
413.504,114,58,18,11,10,3,4,6,5,4
