wavelength,1,2,3,4,5,6,7,8,9,10
340.51,101,38,16,9,4,1,4,-2,-2,-1
340.963,102,38,22,9,10,5,3,2,2,2
341.416,105,46,17,13,7,8,6,2,0,3
341.87,113,46,21,15,10,9,9,8,6,2
342.323,119,48,26,15,10,4,11,6,4,2
342.776,119,51,21,15,10,10,8,3,3,2
343.23,123,47,23,10,7,8,1,-1,4,1
343.683,126,52,19,12,9,13,9,3,4,3
344.137,132,54,24,15,10,5,7,7,4,4
344.59,138,54,22,13,8,5,2,3,1,-2
345.044,140,54,24,19,14,4,5,9,3,5
345.497,146,61,28,19,12,7,8,4,2,5
345.951,151,62,24,16,10,6,8,0,2,4
346.405,159,66,29,21,12,10,9,9,4,1
346.858,170,72,32,20,15,11,7,4,1,1
347.312,175,67,32,17,9,7,8,2,2,0
347.766,176,71,37,19,16,12,8,6,7,7
348.22,197,80,34,24,19,15,12,5,4,5
348.674,197,76,33,18,10,5,10,3,2,-4
349.128,217,89,42,23,24,15,8,9,6,6
349.581,232,89,46,26,20,11,6,6,2,2
350.035,243,102,43,31,21,17,14,11,5,8
350.489,266,107,45,30,21,14,11,5,8,0
350.944,281,117,50,33,26,17,11,10,5,5
351.398,311,133,55,35,26,17,16,11,7,8
351.852,354,145,60,41,28,22,16,10,7,7
352.306,409,170,80,46,30,22,16,10,14,9
352.76,481,202,90,58,37,29,20,17,9,7
353.214,590,248,104,70,48,35,22,18,11,5
353.669,744,312,133,85,61,40,26,19,14,9
354.123,985,413,183,113,77,57,38,32,22,19
354.577,1313,548,236,149,103,72,52,43,27,21
355.032,1722,718,311,202,139,104,69,53,34,29
355.486,2193,915,395,253,174,122,87,64,42,31
355.941,2899,1207,527,340,232,166,116,79,59,41
356.395,3636,1512,667,422,282,200,144,103,74,58
356.85,4460,1856,809,511,353,248,176,127,85,67
357.304,5453,2253,981,625,425,296,209,152,103,75
357.759,6682,2784,1214,768,519,372,258,191,133,99
358.213,7908,3287,1433,908,619,434,302,219,154,115
358.668,9416,3939,1718,1089,738,516,358,263,179,136
359.123,11001,4629,2013,1276,867,606,422,309,210,153
359.578,12524,5308,2303,1461,990,697,478,356,241,175
360.032,14287,6154,2690,1703,1152,812,564,414,285,212
360.487,14883,7148,3128,1979,1339,943,646,479,329,242
360.942,14883,8304,3632,2294,1550,1095,751,557,380,282
361.397,14883,9242,4058,2564,1736,1223,847,623,433,317
361.852,14883,10662,4704,2981,2008,1409,979,722,497,363
362.307,14883,11861,5289,3344,2258,1583,1091,803,552,404
